Date,residual
2022-01-30,-0.29829588532447826
2022-02-06,-0.30774691700935375
2022-02-13,-0.33182823657989513
2022-02-20,-0.38622435927391063
2022-02-27,-0.3034134805202485
2022-03-06,-0.25609567761421215
2022-03-13,-0.27404144406318676
2022-03-20,-0.2068840414285661
2022-03-27,-0.14693696796894085
2022-04-03,-0.03212367743253719
2022-04-10,-0.13137827813625347
2022-04-17,-0.23694612085819255
2022-04-24,-0.12029822170734417
2022-05-01,-0.0035344359930605806
2022-05-08,-0.07904766499996196
2022-05-15,-0.23492519557476055
2022-05-22,-0.25540202856063854
2022-05-29,-0.30780574679374706
2022-06-05,-0.2953957021236421
2022-06-12,-0.3684504032135011
2022-06-19,-0.3682527542114259
2022-06-26,-0.31821492314338695
2022-07-03,-0.27565741539001476
2022-07-10,-0.27728870511055004
2022-07-17,-0.2840956747531892
2022-07-24,-0.2985886335372926
2022-07-31,-0.2694152891635896
2022-08-07,-0.2369166910648347
2022-08-14,-0.249559447169304
2022-08-21,-0.23882897198200237
2022-08-28,-0.27848932147026073
2022-09-04,-0.20784221589565288
2022-09-11,-0.2401178777217866
2022-09-18,-0.24883396923542034
2022-09-25,-0.2572966217994691
2022-10-02,-0.24268215894699108
2022-10-09,-0.10325204581022274
2022-10-16,-0.08484774082899105
2022-10-23,-0.014653158374130837
2022-10-30,0.006655295845121034
2022-11-06,-0.0423220917582513
2022-11-13,-0.1242600902915002
2022-11-20,-0.04370073601603519
2022-11-27,0.10749997198581684
2022-12-04,0.20857053995132435
2022-12-11,0.2692480981349944
2022-12-18,0.22517095506191243
2022-12-25,0.13346973061561573
2023-01-01,0.0038651174400000654
2023-01-08,1.0342777408659458
2023-01-15,-0.08821524679660808
2023-01-22,-0.1307583749294282
2023-01-29,-0.2859119474887849
2023-02-05,-0.1336173862218858
2023-02-12,-0.011925039812922589
2023-02-19,-0.05906062573194515
2023-02-26,-0.024284044280648343
2023-03-05,0.04068131744861592
2023-03-12,0.03375142812728871
2023-03-19,-0.12253059446811687
2023-03-26,0.04514624923467625
2023-04-02,0.09292393177747715
2023-04-09,0.17375829815864552
2023-04-16,0.09951623529195774
2023-04-23,0.0604063719511031
2023-04-30,0.02635122649371613
2023-05-07,0.0043426090851425014
2023-05-14,-0.11479829251766216
2023-05-21,-0.22875587642192852
2023-05-28,-0.17230367660522472
2023-06-04,-0.2945688366889955
2023-06-11,-0.26132971048355114
2023-06-18,-0.38246530294418346
2023-06-25,-0.39932721853256237
2023-07-02,0.6093511879444122
2023-07-09,-0.36502787470817577
2023-07-16,-0.372745841741562
2023-07-23,-0.25676560401916515
2023-07-30,2.728228360414505
2023-08-06,6.680617928504942
2023-08-13,9.427171528339388
2023-08-20,1.0048150420188908
2023-08-27,1.2746539115905762
2023-09-03,3.064448118209839
2023-09-10,3.612083315849304
2023-09-17,10.295673370361328
2023-09-24,21.985348463058475
2023-10-01,14.51113677024841
2023-10-08,4.925405025482178
2023-10-15,-2.265558242797848
2023-10-22,-21.016002655029293
2023-10-29,-13.92827224731446
2023-11-05,-7.738258361816413
2023-11-12,13.695571899414055
2023-11-19,16.273080825805657
2023-11-26,-6.1427764892578125
2023-12-03,-16.910171508789066
2023-12-10,-12.256908416748047
2023-12-17,-11.782573699951174
2023-12-24,-5.769855499267576
2023-12-31,4.50157403945923
2024-01-07,-2.595719814300537
2024-01-14,4.349950551986695
2024-01-21,-0.03927886486053467
2024-01-28,-0.751655399799347
2024-02-04,-0.35798799991607677
2024-02-11,-0.4868568778038026
2024-02-18,0.6635935604572296
2024-02-25,-0.14727829396724712
2024-03-03,-0.19923637807369243
2024-03-10,-0.1331651657819749
2024-03-17,-0.14981667697429668
2024-03-24,-0.18702608346939098
2024-03-31,-0.2554384171962739
2024-04-07,-0.3723989427089692
2024-04-14,-0.4028521180152894
2024-04-21,-0.5938197970390321
2024-04-28,-0.40621545910835277
2024-05-05,-0.44896098971366893
2024-05-12,0.41791486740112305
2024-05-19,-0.5718569159507753
2024-05-26,-0.5159029364585878
2024-06-02,0.5805811882019043
2024-06-09,-0.4710659086704255
2024-06-16,-0.4685458540916444
2024-06-23,-0.42793139815330516
2024-06-30,0.6368783116340637
2024-07-07,-0.36318552494049083
2024-07-14,-0.40244582295417797
2024-07-21,-0.40291431546211254
2024-07-28,-0.405169576406479
2024-08-04,-0.303570717573166
2024-08-11,-0.29170867800712597
2024-08-18,-0.29332491755485546
2024-08-25,-0.1503337472677232
2024-09-01,0.7122460603713989
2024-09-08,-0.25433295965194713
2024-09-15,-0.23357002437114727
2024-09-22,-0.2196168452501298
2024-09-29,-0.21778188645839702
2024-10-06,-0.2294532358646394
2024-10-13,-0.2173779457807542
2024-10-20,-0.17278826236724865
2024-10-27,-0.14291207492351543
2024-11-03,-0.21714632213115703
2024-11-10,-0.26814717054367077
2024-11-17,-0.3386707603931428
2024-11-24,-0.3132474720478059
2024-12-01,-0.3556247353553773
2024-12-08,-0.34531939029693615
2024-12-15,-0.32172277569770824
2024-12-22,-0.21718701720237743
2024-12-29,-0.03908885642886173
2025-01-05,-0.16329392790794384
