Date,residual
2022-06-19,-0.16557180881500244
2022-06-26,-0.16463227570056915
2022-07-03,-0.17850543558597565
2022-07-10,-0.1982068121433258
2022-07-17,-0.20230835676193237
2022-07-24,-0.20157818496227264
2022-07-31,-0.2069607824087143
2022-08-07,-0.19815956056118011
2022-08-14,-0.19722919166088104
2022-08-21,-0.17714817821979523
2022-08-28,-0.1731324940919876
2022-09-04,-0.16676075756549835
2022-09-11,-0.16179323196411133
2022-09-18,-0.1521884649991989
2022-09-25,-0.13766546547412872
2022-10-02,-0.12500488758087158
2022-10-09,-0.12013616412878036
2022-10-16,-0.11985097825527191
2022-10-23,-0.12723098695278168
2022-10-30,-0.13112609088420868
2022-11-06,-0.12397150695323944
2022-11-13,-0.11853160709142685
2022-11-20,-0.09318191558122635
2022-11-27,-0.07216387987136841
2022-12-04,-0.08179662376642227
2022-12-11,-0.10667746514081955
2022-12-18,-0.1323889046907425
2022-12-25,-0.15276755392551422
2023-01-01,-0.1782747060060501
2023-01-08,0.7998218089342117
2023-01-15,-0.19965244829654694
2023-01-22,-0.18732117116451263
2023-01-29,-0.1993129849433899
2023-02-05,-0.218012273311615
2023-02-12,-0.23996974527835846
2023-02-19,-0.24471178650856018
2023-02-26,-0.2687607407569885
2023-03-05,-0.2970350682735443
2023-03-12,-0.2833355665206909
2023-03-19,-0.2823295593261719
2023-03-26,-0.282086044549942
2023-04-02,-0.28129616379737854
2023-04-09,-0.31178420782089233
2023-04-16,-0.3607625961303711
2023-04-23,-0.3771635890007019
2023-04-30,-0.39633846282958984
2023-05-07,-0.3819206655025482
2023-05-14,-0.39007464051246643
2023-05-21,-0.38533762097358704
2023-05-28,-0.3645966351032257
2023-06-04,-0.35276344418525696
2023-06-11,-0.34761661291122437
2023-06-18,-0.3174302279949188
2023-06-25,-0.30916979908943176
2023-07-02,0.7168013155460358
2023-07-09,-0.28050389885902405
2023-07-16,-0.2806415259838104
2023-07-23,-0.2550390362739563
2023-07-30,2.7458268105983734
2023-08-06,6.738331228494642
2023-08-13,9.741300135850908
2023-08-20,1.748371690511704
2023-08-27,2.7436507642269135
2023-09-03,4.74652624130249
2023-09-10,4.757071599364281
2023-09-17,10.742887258529663
2023-09-24,22.695922583341602
2023-10-01,16.593887448310856
2023-10-08,11.44948822259903
2023-10-15,24.234902381896976
2023-10-22,27.941699743270878
2023-10-29,41.5621234178543
2023-11-05,34.89776444435119
2023-11-12,33.79306554794311
2023-11-19,32.11132860183715
2023-11-26,13.120341300964355
2023-12-03,10.679284095764157
2023-12-10,18.180131435394287
2023-12-17,8.740599155426024
2023-12-24,5.160181045532228
2023-12-31,6.466139554977419
2024-01-07,-1.5519988536834717
2024-01-14,4.134711503982543
2024-01-21,-0.38041889667510986
2024-01-28,-1.050778865814209
2024-02-04,-0.7832386493682861
2024-02-11,-0.6296555399894714
2024-02-18,0.48962676525115967
2024-02-25,-0.4145505130290985
2024-03-03,-0.3618238568305969
2024-03-10,-0.330055832862854
2024-03-17,-0.32182005047798157
2024-03-24,-0.3231806457042694
2024-03-31,-0.35200899839401245
2024-04-07,-0.33494409918785095
2024-04-14,-0.3019881546497345
2024-04-21,-0.3148251473903656
2024-04-28,-0.27738600969314575
2024-05-05,-0.453470379114151
2024-05-12,0.609034389257431
2024-05-19,-0.2992061972618103
2024-05-26,-0.31893017888069153
2024-06-02,0.8483177721500397
2024-06-09,-0.15921321511268616
2024-06-16,-0.012448584660887718
2024-06-23,0.1066356897354126
2024-06-30,1.1006874293088913
2024-07-07,0.17573334276676178
2024-07-14,0.22167721390724182
2024-07-21,0.24744075536727905
2024-07-28,0.19160132110118866
2024-08-04,0.1364407241344452
2024-08-11,0.26104551553726196
2024-08-18,0.2684740126132965
2024-08-25,0.1859123259782791
2024-09-01,1.2092090547084808
2024-09-08,0.1923026293516159
2024-09-15,0.12162093818187714
2024-09-22,0.16426445543766022
2024-09-29,0.1406114399433136
2024-10-06,0.1542019098997116
2024-10-13,0.17091162502765656
2024-10-20,0.26608937978744507
2024-10-27,0.25153490900993347
2024-11-03,0.2488204836845398
2024-11-10,0.3006705343723297
2024-11-17,0.32728463411331177
2024-11-24,0.3002031147480011
2024-12-01,0.2802042067050934
2024-12-08,0.2643261253833771
2024-12-15,0.17755679786205292
2024-12-22,0.20166106522083282
2024-12-29,0.1420447677373886
2025-01-05,0.11418204009532928
