Date,residual
2022-06-19,-1.8257246017456052
2022-06-26,-3.7851998805999756
2022-07-03,-5.163584232330322
2022-07-10,-6.7364583015441895
2022-07-17,-7.7454376220703125
2022-07-24,-8.569759368896484
2022-07-31,-8.9113130569458
2022-08-07,-8.768715858459473
2022-08-14,-7.1283111572265625
2022-08-21,-7.122987270355225
2022-08-28,-6.359758377075195
2022-09-04,-3.4125509262084956
2022-09-11,9.067217826843262
2022-09-18,-2.249233722686767
2022-09-25,-2.6450045108795166
2022-10-02,-2.2148807048797607
2022-10-09,-2.6870880126953125
2022-10-16,-0.25913882255554155
2022-10-23,-1.8858602046966553
2022-10-30,-0.548669099807739
2022-11-06,-1.339166522026062
2022-11-13,-1.2787055969238281
2022-11-20,-1.3719135522842407
2022-11-27,-1.7022910118103027
2022-12-04,-2.0235066413879395
2022-12-11,-2.5300331115722656
2022-12-18,-3.1922683715820312
2022-12-25,-2.428225040435791
2023-01-01,-2.40936541557312
2023-01-08,-3.3352854251861572
2023-01-15,-2.1397764682769775
2023-01-22,-2.9864749908447266
2023-01-29,-2.70918345451355
2023-02-05,-0.39520072937011674
2023-02-12,-2.229024887084961
2023-02-19,-2.013338088989258
2023-02-26,-1.7001957893371582
2023-03-05,-0.4940265417098997
2023-03-12,-1.3845385313034058
2023-03-19,-1.2822738885879517
2023-03-26,-1.1936745643615723
2023-04-02,-0.1411536931991575
2023-04-09,-0.0891531705856321
2023-04-16,-0.9734684824943542
2023-04-23,-0.9261419177055359
2023-04-30,-0.8787623047828674
2023-05-07,-0.8661347031593323
2023-05-14,-0.9189354777336121
2023-05-21,-0.9455941319465637
2023-05-28,-0.9837551712989807
2023-06-04,-1.0831916332244873
2023-06-11,-1.3263611793518066
2023-06-18,-1.627862811088562
2023-06-25,0.9769983291625977
2023-07-02,2.554702043533325
2023-07-09,7.733231782913208
2023-07-16,-1.5372533798217773
2023-07-23,0.8595190048217756
2023-07-30,-0.7592020034790021
2023-08-06,-1.130131721496582
2023-08-13,8.667719841003414
2023-08-20,5.061408996582031
2023-08-27,23.10036849975586
2023-09-03,42.605926513671854
2023-09-10,57.17547607421872
2023-09-17,27.34217071533204
2023-09-24,79.66629028320315
2023-10-01,123.71578598022467
2023-10-08,92.0007019042969
2023-10-15,82.993522644043
2023-10-22,144.1709136962891
2023-10-29,101.0302963256836
2023-11-05,182.42355346679693
2023-11-12,247.6623992919922
2023-11-19,251.32665252685553
2023-11-26,161.33593749999994
2023-12-03,93.35266876220712
2023-12-10,102.61151123046875
2023-12-17,79.58118438720706
2023-12-24,31.911056518554688
2023-12-31,-4.86378097534179
2024-01-07,-30.83901977539063
2024-01-14,-29.137035369873047
2024-01-21,-30.90727996826172
2024-01-28,-37.58888244628906
2024-02-04,-35.50214767456055
2024-02-11,-33.550376892089844
2024-02-18,-22.028400421142578
2024-02-25,-11.250408172607424
2024-03-03,-18.59528160095215
2024-03-10,-18.097301483154297
2024-03-17,-15.42523193359375
2024-03-24,-14.769694328308105
2024-03-31,-10.892354011535645
2024-04-07,-7.131004333496094
2024-04-14,-7.678109169006348
2024-04-21,-0.8748216629028303
2024-04-28,-5.686976432800293
2024-05-05,-5.120773792266846
2024-05-12,-7.966313362121582
2024-05-19,-7.2940497398376465
2024-05-26,-5.587792873382568
2024-06-02,-5.806273460388184
2024-06-09,-1.830345630645752
2024-06-16,-6.028512001037598
2024-06-23,-5.422215461730957
2024-06-30,-6.031167507171631
2024-07-07,-5.484117031097412
2024-07-14,-5.665194511413574
2024-07-21,-2.6864404678344727
2024-07-28,-4.839261054992676
2024-08-04,-4.417727947235107
2024-08-11,-5.482370376586914
2024-08-18,-3.085824966430664
2024-08-25,-3.0514564514160156
2024-09-01,-5.689975261688232
2024-09-08,-6.0946149826049805
2024-09-15,-3.564455509185791
2024-09-22,-6.864426136016846
2024-09-29,-6.178350925445557
2024-10-06,-1.7366905212402344
2024-10-13,-4.718811511993408
2024-10-20,-5.408162593841553
2024-10-27,-5.748075008392334
2024-11-03,-4.475772857666016
2024-11-10,-5.197361469268799
2024-11-17,-4.490668296813965
2024-11-24,-2.828129291534424
2024-12-01,-1.7394804954528809
2024-12-08,-4.440352439880371
2024-12-15,-1.913129329681396
2024-12-22,-2.3136985301971436
2024-12-29,-1.8085319995880125
2025-01-05,-2.8573548793792725
